evaluation_set,observations,R2,RMSE,MAE,MAPE_PERCENT,CORRELATION
Train,1021,0.9915,13.4865,9.5874,5.3966,0.9961
Test / Holdout,255,0.9738,21.0552,16.259,7.5798,0.9877
