channel,incremental_purchases,contribution_percentage
Meta Instagram,129093.296875,35.89779734611511
Meta Facebook,99120.8203125,27.5632381439209
baseline,63514.16015625,17.66180992126465
Google Paid Search,60546.19921875,16.836464405059814
Google PMAX,4830.50927734375,1.3432511128485203
Google Video,1360.203369140625,0.37824108731001616
Google Shopping,1147.6956787109375,0.3191474126651883
