channel,median_active_impressions,p75_active_impressions,half_saturation_media_units,median_to_half_saturation_ratio,hill_level_at_median,hill_level_after_10pct_more_exposure,absolute_gain_from_10pct_more_exposure,relative_gain_from_10pct_more_exposure_pct
Google PMAX,42344.5,48559.0,28532.206788549553,1.4840948095537267,0.5861500047748974,0.606511267028426,0.020361262253528523,3.4737289239378195
Google Shopping,5585.0,13504.25,5213.307828313886,1.0712968011724582,0.5144173645246571,0.5360807158147693,0.02166335129011221,4.211240285430497
Google Video,25590.0,51034.5,26920.156582587744,0.9505888244554973,0.4882832288256213,0.510334814657779,0.02205158583215766,4.516146476133191
Google Paid Search,2262.0,4582.0,3086.0579220260706,0.7329739289257873,0.42506651085481795,0.4478470890151888,0.02278057816037088,5.359297328448352
Meta Instagram,349181.0,518504.0,589007.8373441637,0.5928291235893517,0.3741722426958725,0.3963831562262979,0.02221091353042537,5.936013150093129
Meta Facebook,186328.0,344457.5,394476.62347593915,0.4723423110808617,0.3232642954811594,0.34415004769920254,0.02088575221804312,6.460890518996518
