DATE_DAY,ALL_PURCHASES,ALL_PURCHASES_ORIGINAL_PRICE,REVENUE_PER_PURCHASE,GOOGLE_PAID_SEARCH_IMPRESSIONS,GOOGLE_SHOPPING_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_VIDEO_IMPRESSIONS,META_FACEBOOK_IMPRESSIONS,META_INSTAGRAM_IMPRESSIONS,GOOGLE_PAID_SEARCH_SPEND,GOOGLE_SHOPPING_SPEND,GOOGLE_PMAX_SPEND,GOOGLE_VIDEO_SPEND,META_FACEBOOK_SPEND,META_INSTAGRAM_SPEND,TREND,DOW_Friday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,YEAR_SIN_1,YEAR_COS_1,YEAR_SIN_2,YEAR_COS_2,BLACK_FRIDAY_PERIOD,LOG_ORGANIC_SEARCH_CLICKS,LOG_EMAIL_CLICKS,LOG_REFERRAL_CLICKS,LOG_ALL_OTHER_CLICKS,DATA_SPLIT
2020-12-05,140,17375.005329521,124.10718092514999,1126.0,74808.0,0.0,0.0,236761.0,0.0,111.44,481.75,0.0,0.0,3649.998151899,0.0,0.010980392156862745,0,1,0,0,0,0,0.23851257519407648,0.9711394088771653,0.4632579225674917,0.88622350294858,0,0.0,0.0,0.0,0.0,Train
2020-12-06,257,34454.989420536,134.06610669469262,1304.0,92643.0,0.0,0.0,573727.0,0.0,122.27,514.19,0.0,0.0,8053.007305321,0.0,0.011764705882352941,0,0,1,0,0,0,0.2551824131233728,0.9668929289391521,0.49346814167723735,0.8697638720650646,0,0.0,0.0,0.0,0.0,Train
2020-12-07,222,26687.689565907,120.21481786444595,18110.0,87524.0,0.0,0.0,421437.0,0.0,253.64,488.4,0.0,0.0,6553.666549127,0.0,0.012549019607843137,0,0,0,0,0,0,0.2717767384711357,0.9623603298276545,0.5230943033491326,0.8522748088519838,0,0.0,0.0,0.0,0.0,Train
2020-12-08,242,28649.420062351,118.3860333155,60203.0,74185.0,0.0,0.0,371473.0,0.0,490.17,501.81,0.0,0.0,6928.978839985,0.0,0.013333333333333334,0,0,0,0,1,0,0.2882906407095177,0.9575429528116719,0.5521013427459208,0.8337770129585915,0,0.0,0.0,0.0,0.0,Train
2020-12-09,183,22470.774258609,122.79111616726229,45823.0,60566.0,0.0,0.0,228663.0,0.0,365.92,435.34,0.0,0.0,4751.965153729,0.0,0.01411764705882353,0,0,0,0,0,1,0.3047192331091634,0.9524422234305676,0.580454927809098,0.8142923779467267,0,0.0,0.0,0.0,0.0,Train
2020-12-10,158,16968.760287915,107.39721701212025,31254.0,57129.0,0.0,0.0,153608.0,0.0,188.91,403.24,0.0,0.0,2726.201887004,0.0,0.014901960784313726,0,0,0,1,0,0,0.321057654185271,0.9470596510722283,0.6081214998935418,0.7938439653781019,0,0.0,0.0,0.0,0.0,Train
2020-12-11,138,15540.239866407,112.61043381454348,693.0,63489.0,0.0,0.0,177173.0,0.0,52.95,496.830318439,0.0,0.0,3013.257054388,0.0,0.01568627450980392,1,0,0,0,0,0,0.3373010691361842,0.9413968285264122,0.6350683134867438,0.7724559775191742,0,0.0,0.0,0.0,0.0,Train
2020-12-12,146,16840.992951527,115.34926679128083,1028.0,68494.0,0.0,0.0,315950.0,0.0,75.52,427.908210031,0.0,0.0,5169.283074496,0.0,0.01647058823529412,0,1,0,0,0,0,0.3534446712740877,0.9354554315134164,0.6612634749656386,0.7501537286959042,0,0.0,0.0,0.0,0.0,Train
2020-12-13,225,27583.006004403,122.59113779734666,1405.0,77530.0,0.0,0.0,560802.0,0.0,123.58,515.78,0.0,0.0,7696.782379679,0.0,0.017254901960784313,0,0,1,0,0,0,0.3694836834473831,0.9292372181882051,0.6866759803451553,0.726963615332308,0,0.0,0.0,0.0,0.0,Train
2020-12-14,239,27535.00688595,115.20923383242678,1240.0,64697.0,0.0,0.0,461472.0,0.0,92.94,458.73,0.0,0.0,7288.961984767,0.0,0.01803921568627451,0,0,0,0,0,0,0.38541335945432564,0.9227440286201427,0.7112757519738152,0.7029130847082615,0,0.0,0.0,0.0,0.0,Train
