DATE_DAY,Google Paid Search,Google Shopping,Google PMAX,Google Video,Meta Facebook,Meta Instagram,Trend,Dow Friday,Dow Saturday,Dow Sunday,Dow Thursday,Dow Tuesday,Dow Wednesday,Year Sin 1,Year Cos 1,Year Sin 2,Year Cos 2,Black Friday Period,Log Organic Search Clicks,Log Email Clicks,Log Referral Clicks,Log All Other Clicks
2020-11-21,-5.238061238387057,-0.4792518187955158,-15.293996040405144,-0.15560934327354162,-23.100760066660573,-23.113874798192256,-78.56229594153318,-0.037601957519851334,-0.2428861149508768,-1.5233096298416036,0.6367202648984864,0.02243211596646036,0.11438240726134498,-1.2891444521287367,15.27851214304858,-1.2185550116001767,0.6279765889651849,-9.37843677131821,-1.7017639394007502,-31.897337441880996,-0.11944831971192489,-0.9286934353494336
2020-11-23,-5.428627543486273,0.9918378732305159,-15.049481024680167,-0.1130960664176335,19.502229983863273,-19.203180701664433,-78.86115983156519,-0.03980323735573199,0.006687077072118973,-1.3190959353093654,0.5812617547620476,0.010999835334051857,0.10145498964998717,0.0005802493920076175,16.82463163272437,-0.7168121938503421,0.8233551524147981,-9.140482436945337,-1.5891426524854495,-28.67565834681679,-0.058801318506073695,-0.8989520828401485
2020-11-24,-4.115623689140235,-0.10433267341553308,-15.027609807812361,-0.14965331848302743,-8.044468953875894,-21.113804690976263,-74.75623862199016,-0.0394781563203532,0.028229771425617497,-1.3173027695770763,0.5085552013704129,-0.05760350845123236,0.12694012438681684,0.053425738467642814,17.922248921969565,-0.4354515135028945,0.6802860237661498,-9.208895518993158,-1.571229295630308,-29.658067173858036,-0.10787554649262694,-0.883202342024752
2020-11-26,-1.5556876012645338,4.048282146176139,-19.505669974079655,-0.1647160463275579,-14.96914402551317,-11.255856555983884,-64.56167038838345,-0.015950100509292037,0.015535865307264867,-0.8273358892516911,-1.3251209227360703,0.011243900715008174,0.070743660733573,1.3431210111857759,25.07358710078541,1.4366201228980722,0.8028938172923028,372.3365529466027,-1.7911925842471117,-27.623314741061794,-1.4447322935893865,-2.0611045550420584
2020-11-27,-0.5924154564329154,3.9917264773793177,-19.500280964863926,-0.14887863328073478,20.353537848609523,-10.42366181643784,-71.13653781950251,0.11443855696867115,0.00514282420508573,-0.8346466481119301,0.3428553644932677,0.017143569503338923,0.07560069305456535,1.7618973651757883,19.96540051324782,1.2581578815547565,1.3840357927968014,355.0822817361732,-1.7458178610770339,-26.100800538729228,-1.3745393886736634,-2.001853036887204
2020-11-28,-0.6729590742928907,-0.4056415022002483,-20.071285463690053,-0.15678391709185543,23.20782152552225,-10.54323770540707,-71.9030948241698,-0.019059186179752878,-0.032078919342376146,-0.8211733159512236,0.3544943096977829,0.02086817678053735,0.07469271937456516,1.9705236351218642,18.34647866028411,1.2550925985585675,1.2741048980898004,356.0675363392626,-1.7059134852790645,-26.981068057170866,-1.3701205906677492,-2.0037334834353957
2020-11-30,-0.4000437108885796,3.872815245923661,-19.41924557580361,-0.1436496963033914,19.884281821005366,-10.72247236605807,-70.6686176176452,-0.019879979202795918,0.006474985729886598,-0.8680568583179227,0.34833508001973335,0.017188736966044206,0.07657921410998189,1.6813056193501867,14.488501090088429,1.1246337991058164,0.7978613976570234,355.7011424947313,-1.6587869607914103,-25.23018637616669,-1.375911817809658,-1.9951329413367629
2020-12-01,1.490273624178747,0.3223910489855473,-14.376128820146167,-0.13788721512408253,37.44438911005729,-17.42690665818338,-71.02976410043458,-0.02351556320047161,0.014774860642715243,-1.5019059416399163,0.5611153296291931,-0.058475896768734686,0.10760607977365905,1.7488180039708432,8.178696458041713,0.137773508878701,0.3085054780761336,-6.832497624026086,-1.3343533546613215,-25.08555935518232,-0.0029014127661010814,-0.7592978451844533
2020-12-02,1.7783133764304035,0.03289236134074862,-14.197442232412767,-0.13634906336377006,35.7452773588837,-17.464922492428443,-71.48688069164055,-0.022805487373611714,0.012153116596303914,-1.5057207187145782,0.5515164108479474,0.026761858919437928,-0.3808982166718241,2.0205142300072576,8.140104575132963,0.1048336980358756,0.2705660687058635,-6.83105409883748,-1.3334661144468278,-25.360046609781993,0.004221886723290796,-0.7525101112227472
2020-12-03,0.9881499880047702,0.2614026113163089,-14.572763092353794,-0.10664556976536965,28.6130687768551,-18.021497426056378,-73.28564043781734,-0.0332373770223722,0.011993380334754684,-1.513624805366993,-2.373028723615504,0.012048432563732394,0.09014420265211545,2.087354668002219,7.553279339033315,-0.2743943858545061,0.27369981015858086,-6.891711886543787,-1.3268378603829103,-26.78113233231694,0.0010101288118608577,-0.7600444782562168
2020-12-09,9.994129982342555,1.3989893260896067,-13.516110428772468,-0.06710833122226278,13.619514686341759,-18.175482764509226,-64.33869665423876,-0.03065980688618994,0.009518974645652193,-1.2170284672209808,0.5293411080841652,0.014638873344053751,-0.3394948182872325,3.390663493544925,8.670919676494064,1.0226817280672134,1.4339754974570496,-6.781649659305916,-1.5068745040507812,-25.845383601258806,-0.020283127457173145,-0.629853948721842
2020-12-14,1.0334751395306028,2.62038981045849,-14.042075529012251,-0.11073299016546848,38.04584514861759,-16.780226500026256,-66.98937475611174,-0.025523869807204315,0.007310395754763465,-1.456516132224673,0.5715429462227238,0.031885217120996914,0.11296619191580089,4.34790614385364,8.634066264988261,1.1325383843632881,1.7987519623115835,-6.741006444551519,-1.3441829457865415,-24.215236740562975,-0.009441698422542036,-0.7542581392581665
2020-12-15,-5.600680432486948,2.364258654321993,-14.337281289231596,-0.07694965526607636,19.816836977122822,-18.403608364472248,-70.40292502274845,-0.045478595465256726,0.008618988407421174,-1.4068954777977245,0.6007144056612815,-0.04242544271272976,0.09597510496024159,3.313061023321675,6.5090853823803,0.9241157385918893,1.135007158160172,-6.863282986238328,-1.3517102968765626,-27.171403706823465,0.009719493415765149,-0.7488293328268351
2020-12-16,-5.619591508336213,2.2311150876973986,-14.391059734761624,-0.07584854651685466,16.67385701605381,-18.62468447094965,-72.40706241271877,-0.04493336620349118,0.008090540831261244,-1.5229049381397675,0.6074992122291522,0.01051125454091593,-0.3804387682677568,3.0954873792538407,4.8722521339913545,0.7379912587168628,0.9082911033804164,-6.898756293401359,-1.3758392517655835,-27.027828166626854,0.021581559119823963,-0.7418442147885179
2020-12-18,-6.519948083056179,2.1534646939552733,-14.946503109863052,-0.0705407943117699,19.993193272365865,-19.174970224919488,-78.44917015704131,0.14818708583119103,0.013812003953732345,-1.6585439267955826,0.6398922523001768,0.014867159489685,0.11223022598590751,2.498351775178583,3.263117109356828,0.5505625529809589,0.6731122243809463,-6.9304035137154605,-1.3846098237372022,-28.85811176254419,0.01799257955929286,-0.7672641797656459
2020-12-19,-5.836231165035628,1.7470912619817556,-14.83591929624119,-0.13241383819761826,-4.092531480396481,-20.711605992183234,-75.19041320764086,-0.04739254393957811,-0.06441485893521746,-1.6156589697971948,0.5412189622367958,0.01999912059149308,0.1566886010786644,1.8406365340454673,2.647371565188777,0.5470108049007872,0.3479382784121727,-7.036602341908523,-1.3679907408121694,-29.779685551292857,0.024969712077346544,-0.7328665346073044
2020-12-20,-4.78717761490728,0.8216269005487027,-14.866012884880996,-0.14702841746807463,-17.249640861857277,-21.14703674910855,-77.58917497020121,-0.028038047801941947,0.045640866836409506,10.203184167034827,0.5611701386775256,0.022443212132255457,0.14484009093548858,2.0279835115527316,1.429510429727785,0.3063014714045585,0.1714408794768199,-7.065905389408458,-1.4419845801064481,-30.216988648352924,-0.032705712550840815,-0.7509249060649581
2020-12-21,-5.22530702449125,0.6151436717173505,-15.471366416555528,-0.13818215954891955,-18.84149141545981,-22.811958339383573,-80.231311710577,-0.027734713942898,0.05406355008748572,-1.7733534194888096,0.5733528517190873,0.028606237103088485,0.14024047638669324,1.715519214005459,1.4731966868216537,0.20392385237317082,0.3162158207847438,-7.205817498883061,-1.4401202763039103,-31.53947506551213,-0.014373521237141694,-0.784614703936278
2020-12-22,-5.38291439452107,0.5149341248178341,-15.782038928972895,-0.1376562446600867,-24.61792420095226,-24.097853443502427,-82.70118196304509,-0.03457929184255631,0.038708400484779276,-1.8186237321510605,0.6915732169421153,-0.09756445583253388,0.13403246967668586,1.4262740989103944,0.8088805057935535,-0.18338706978825842,0.2435206080095208,-7.2885158915239705,-1.4742781363210335,-32.42944248296316,-0.050894274162273684,-0.8393785189746061
2020-12-23,-5.385637932095766,1.2487170590509198,-15.86456269319706,-0.1274689617350695,-27.552016644191994,-24.500327889344227,-83.59773098427209,-0.03050642054596762,0.020545945758723486,-1.777113208075151,0.7402780236172375,0.029639008361652047,-0.47533310818096214,1.509740686971408,0.3698387013493175,-0.35219244254465915,0.17538231290155543,-7.312229088791911,-1.5170945537002103,-32.62597199848421,-0.054136237683430344,-0.837879283197
2020-12-24,-5.382722106933104,0.43114433671375607,-16.217158789547632,-0.1330053405781274,-33.81785563850274,-26.01858938755519,-85.29412440264194,-0.030826457741348824,0.011506873191759186,-1.6609777659823446,-3.9080477442399486,0.014717599309550985,0.10784425898652082,1.6119337990393985,0.17368057038031626,-0.33132838112984614,0.15431627786559163,-7.3853043409182995,-1.5358300870092179,-34.103362173286534,-0.04927852540757298,-0.7954412584449216
2020-12-30,-5.1731578991963,0.6545562208591952,-15.520859842481434,-0.13328258756002204,-16.68271438726619,-23.470003354093237,-81.04643995012844,-0.02752958774436035,0.04481308568516865,-1.7892093651822287,0.5427735838712808,0.025535897561855363,-0.5019680319002587,1.691011835291483,1.1167981873570154,-0.027736235468828807,0.2096755851049233,-7.179723618681729,-1.4020603217070984,-32.067064860797025,-0.012573198171189976,-0.8095450930812772
2021-01-01,-6.391374425537812,0.19862438810622787,-15.347023291432464,-0.09695684131133675,36.12318005490229,-18.714819187041368,-79.34391477851322,0.09022553820806428,0.00916857100577647,-2.004788001332124,0.7721666095774513,0.06671015146853333,0.14622430487539406,2.9596779250977225,2.767881811469102,0.23898094938037207,0.30637771471366276,-6.899313414006716,-1.3793644557511306,-28.238330002651253,-0.007476389103709063,-0.7746119080569771
2021-01-02,-5.9898586330393515,2.2872962742519176,-15.141271070685358,-0.06956043049007367,35.639743789572904,-18.498497921010607,-78.20487494344061,-0.019374993245861227,-0.03926288839125566,-1.9958425374465136,0.7118114488055503,0.05062468506704197,0.14983008333418635,3.1171667701776693,3.029229325186934,0.24018903488585808,0.4303426473512432,-6.883016597750379,-1.3748610074503358,-27.740756086724456,0.0019393900975364267,-0.7782652099967464
